unique_id,price_paid,deed_date,postcode,property_type,new_build,estate_type,saon,paon,street,locality,town,district,county,transaction_category,"linked_data_uri""08860560-9147-4237-A9D8-725FBA1CE458""",latitude,longitude,Floor Area
F682F952-FAA2-46A6-9C87-C858CD0B488C,142000,2006-01-18,RG6 4AJ,T,N,F,,34,NOTTON WAY,LOWER EARLEY,READING,WOKINGHAM,WOKINGHAM,A,http://landregistry.data.gov.uk/data/ppi/transaction/F682F952-FAA2-46A6-9C87-C858CD0B488C/current,51.420075,-0.938633,560.0
C0064528-29CA-423F-BD8D-D10FAD96C838,132000,2003-07-07,RG6 4AJ,T,N,F,,34,NOTTON WAY,LOWER EARLEY,READING,WOKINGHAM,WOKINGHAM,A,http://landregistry.data.gov.uk/data/ppi/transaction/C0064528-29CA-423F-BD8D-D10FAD96C838/current,51.420075,-0.938633,560.0
5F3D4492-E976-4A5D-9FAE-C2094025AADB,110000,2002-03-15,RG6 4AJ,T,N,F,,34,NOTTON WAY,LOWER EARLEY,READING,WOKINGHAM,WOKINGHAM,A,http://landregistry.data.gov.uk/data/ppi/transaction/5F3D4492-E976-4A5D-9FAE-C2094025AADB/current,51.420075,-0.938633,560.0
4036222B-6015-4C4E-9ABF-BBF8598E81F2,89000,2000-09-25,RG6 4AJ,T,N,F,,34,NOTTON WAY,LOWER EARLEY,READING,WOKINGHAM,WOKINGHAM,A,http://landregistry.data.gov.uk/data/ppi/transaction/4036222B-6015-4C4E-9ABF-BBF8598E81F2/current,51.420075,-0.938633,560.0
50483D01-5F54-4EA9-99C1-373B924CF84E,153500,2010-02-24,RG6 4AJ,T,N,F,,35,NOTTON WAY,LOWER EARLEY,READING,WOKINGHAM,WOKINGHAM,A,http://landregistry.data.gov.uk/data/ppi/transaction/50483D01-5F54-4EA9-99C1-373B924CF84E/current,51.420075,-0.938633,474.0
E9B6C9D2-0175-4534-8ADA-6010C1F36B91,66500,1998-06-12,RG6 4AJ,T,N,F,,35,NOTTON WAY,LOWER EARLEY,READING,WOKINGHAM,WOKINGHAM,A,http://landregistry.data.gov.uk/data/ppi/transaction/E9B6C9D2-0175-4534-8ADA-6010C1F36B91/current,51.420075,-0.938633,474.0
8650EB12-B74A-48A3-9A71-DE64856E590C,53950,1997-03-24,RG6 4AJ,T,N,F,,35,NOTTON WAY,LOWER EARLEY,READING,WOKINGHAM,WOKINGHAM,A,http://landregistry.data.gov.uk/data/ppi/transaction/8650EB12-B74A-48A3-9A71-DE64856E590C/current,51.420075,-0.938633,474.0
6BCBC548-7130-4FD4-946F-40010D66BAD2,69000,1999-05-07,RG6 4AJ,T,N,F,,38,NOTTON WAY,LOWER EARLEY,READING,WOKINGHAM,WOKINGHAM,A,http://landregistry.data.gov.uk/data/ppi/transaction/6BCBC548-7130-4FD4-946F-40010D66BAD2/current,51.420075,-0.938633,474.0
5B00CEC8-6D99-432C-BA29-F23E80844B1D,63250,1997-10-31,RG6 4AJ,S,N,F,,39,NOTTON WAY,LOWER EARLEY,READING,WOKINGHAM,WOKINGHAM,A,http://landregistry.data.gov.uk/data/ppi/transaction/5B00CEC8-6D99-432C-BA29-F23E80844B1D/current,51.420075,-0.938633,474.0
C8A3A575-DA95-0425-E053-6C04A8C0947B,260750,2021-06-29,RG6 4AJ,T,N,F,,40,NOTTON WAY,LOWER EARLEY,READING,WOKINGHAM,WOKINGHAM,A,http://landregistry.data.gov.uk/data/ppi/transaction/C8A3A575-DA95-0425-E053-6C04A8C0947B/current,51.420075,-0.938633,484.0
582D0636-9200-8F22-E053-6C04A8C01BAC,260000,2017-08-22,RG6 4AJ,T,N,F,,40,NOTTON WAY,LOWER EARLEY,READING,WOKINGHAM,WOKINGHAM,A,http://landregistry.data.gov.uk/data/ppi/transaction/582D0636-9200-8F22-E053-6C04A8C01BAC/current,51.420075,-0.938633,484.0
6FA8067C-68CA-4D5B-B0F9-17202E7EC167,149500,2005-05-19,RG6 4AJ,T,N,F,,40,NOTTON WAY,LOWER EARLEY,READING,WOKINGHAM,WOKINGHAM,A,http://landregistry.data.gov.uk/data/ppi/transaction/6FA8067C-68CA-4D5B-B0F9-17202E7EC167/current,51.420075,-0.938633,484.0
2BEF32BC-151C-4BC0-AE32-22F7B74BC1DC,92500,2000-08-18,RG6 4AJ,T,N,F,,40,NOTTON WAY,LOWER EARLEY,READING,WOKINGHAM,WOKINGHAM,A,http://landregistry.data.gov.uk/data/ppi/transaction/2BEF32BC-151C-4BC0-AE32-22F7B74BC1DC/current,51.420075,-0.938633,484.0
D22473F4-D575-7B40-E053-6C04A8C0A630,250000,2021-06-22,RG6 4AJ,T,N,F,,41,NOTTON WAY,LOWER EARLEY,READING,WOKINGHAM,WOKINGHAM,A,http://landregistry.data.gov.uk/data/ppi/transaction/D22473F4-D575-7B40-E053-6C04A8C0A630/current,51.420075,-0.938633,474.0
2A961A3F-A8F7-42A5-8DE7-B3506C78821E,202500,2014-10-17,RG6 4AJ,T,N,F,,41,NOTTON WAY,LOWER EARLEY,READING,WOKINGHAM,WOKINGHAM,A,http://landregistry.data.gov.uk/data/ppi/transaction/2A961A3F-A8F7-42A5-8DE7-B3506C78821E/current,51.420075,-0.938633,474.0
E0F9CDC5-A66B-4408-B6AD-FEC3404ECE48,162500,2009-08-28,RG6 4AJ,T,N,F,,41,NOTTON WAY,LOWER EARLEY,READING,WOKINGHAM,WOKINGHAM,A,http://landregistry.data.gov.uk/data/ppi/transaction/E0F9CDC5-A66B-4408-B6AD-FEC3404ECE48/current,51.420075,-0.938633,474.0
BAC36E6B-563E-4839-815E-F2CFE3A2AC56,149000,2005-04-12,RG6 4AJ,T,N,F,,41,NOTTON WAY,LOWER EARLEY,READING,WOKINGHAM,WOKINGHAM,A,http://landregistry.data.gov.uk/data/ppi/transaction/BAC36E6B-563E-4839-815E-F2CFE3A2AC56/current,51.420075,-0.938633,474.0
9238EB1D-7188-4955-B28C-667CDAC870A1,107000,2001-07-09,RG6 4AJ,T,N,F,,41,NOTTON WAY,LOWER EARLEY,READING,WOKINGHAM,WOKINGHAM,A,http://landregistry.data.gov.uk/data/ppi/transaction/9238EB1D-7188-4955-B28C-667CDAC870A1/current,51.420075,-0.938633,474.0
EB1FFB29-1E2B-49BE-825B-477D6C9F9169,45000,1995-07-31,RG6 4AJ,T,N,F,,41,NOTTON WAY,LOWER EARLEY,READING,WOKINGHAM,WOKINGHAM,A,http://landregistry.data.gov.uk/data/ppi/transaction/EB1FFB29-1E2B-49BE-825B-477D6C9F9169/current,51.420075,-0.938633,474.0
453D27A2-ADE7-EF91-E050-A8C0630574D7,242000,2016-12-20,RG6 4AJ,S,N,F,,42,NOTTON WAY,LOWER EARLEY,READING,WOKINGHAM,WOKINGHAM,A,http://landregistry.data.gov.uk/data/ppi/transaction/453D27A2-ADE7-EF91-E050-A8C0630574D7/current,51.420075,-0.938633,474.0
937EB233-F4B4-4880-841A-41DACB7C4CE5,136500,2004-06-25,RG6 4AJ,S,N,F,,42,NOTTON WAY,LOWER EARLEY,READING,WOKINGHAM,WOKINGHAM,A,http://landregistry.data.gov.uk/data/ppi/transaction/937EB233-F4B4-4880-841A-41DACB7C4CE5/current,51.420075,-0.938633,474.0
5490A1BE-FA10-4D26-B786-DA7FA0BBDE63,64000,1997-10-14,RG6 4AJ,S,N,F,,42,NOTTON WAY,LOWER EARLEY,READING,WOKINGHAM,WOKINGHAM,A,http://landregistry.data.gov.uk/data/ppi/transaction/5490A1BE-FA10-4D26-B786-DA7FA0BBDE63/current,51.420075,-0.938633,474.0
0EA926B4-01D4-488F-BE5C-5EF1E9C634B0,52000,1996-11-22,RG6 4AJ,S,N,F,,42,NOTTON WAY,LOWER EARLEY,READING,WOKINGHAM,WOKINGHAM,A,http://landregistry.data.gov.uk/data/ppi/transaction/0EA926B4-01D4-488F-BE5C-5EF1E9C634B0/current,51.420075,-0.938633,474.0
CFC9085C-4CF5-9A70-E053-6B04A8C09D6A,235000,2021-07-23,RG6 4AJ,T,N,F,,45,NOTTON WAY,LOWER EARLEY,READING,WOKINGHAM,WOKINGHAM,A,http://landregistry.data.gov.uk/data/ppi/transaction/CFC9085C-4CF5-9A70-E053-6B04A8C09D6A/current,51.420075,-0.938633,517.0
726BF13A-61D3-0A46-E053-6C04A8C01D0D,265000,2018-07-13,RG6 4AJ,T,N,F,,45,NOTTON WAY,LOWER EARLEY,READING,WOKINGHAM,WOKINGHAM,A,http://landregistry.data.gov.uk/data/ppi/transaction/726BF13A-61D3-0A46-E053-6C04A8C01D0D/current,51.420075,-0.938633,517.0
E6AED0CD-3A28-43D1-BE95-E082F30009AD,69950,1999-06-15,RG6 4AJ,T,N,F,,45,NOTTON WAY,LOWER EARLEY,READING,WOKINGHAM,WOKINGHAM,A,http://landregistry.data.gov.uk/data/ppi/transaction/E6AED0CD-3A28-43D1-BE95-E082F30009AD/current,51.420075,-0.938633,517.0
47844C7F-650B-8986-E050-A8C063056488,225000,2017-01-25,RG6 4AJ,T,N,F,,47,NOTTON WAY,LOWER EARLEY,READING,WOKINGHAM,WOKINGHAM,B,http://landregistry.data.gov.uk/data/ppi/transaction/47844C7F-650B-8986-E050-A8C063056488/current,51.420075,-0.938633,474.0
F860CA3A-EEB4-48FA-A598-2F5A5271857E,135000,2003-02-28,RG6 4AJ,T,N,F,,48,NOTTON WAY,LOWER EARLEY,READING,WOKINGHAM,WOKINGHAM,A,http://landregistry.data.gov.uk/data/ppi/transaction/F860CA3A-EEB4-48FA-A598-2F5A5271857E/current,51.420075,-0.938633,469.0
